epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,8777.35,0.39009,0.64923,0.26387,0.93066,0.98691,0.9667,0.98051,0.78874,0.97383,0.95398,0.95855,0.77293,0.72173,1.46254,0.34438,1.18456,0.0003368,0.0003368,0.0003368
128,8846.06,0.39512,0.6569,0.26743,0.92951,0.96502,0.94872,0.97044,0.79744,0.96502,0.94872,0.95946,0.78734,0.71153,1.3968,0.38125,1.17765,0.0003236,0.0003236,0.0003236
129,8914.94,0.38811,0.65032,0.26434,0.92866,0.94891,0.96795,0.97602,0.80288,0.97098,0.94231,0.97126,0.79732,0.70522,1.43258,0.37011,1.15059,0.0003104,0.0003104,0.0003104
130,8984.88,0.38115,0.64062,0.26419,0.92073,0.96364,0.95513,0.9695,0.79942,0.96364,0.95513,0.97154,0.7915,0.69702,1.44575,0.35418,1.15352,0.0002972,0.0002972,0.0002972
131,9052.28,0.38042,0.63369,0.25685,0.92329,0.96145,0.95933,0.97847,0.81723,0.96145,0.95933,0.97994,0.81037,0.69234,1.38065,0.33659,1.13535,0.000284,0.000284,0.000284
132,9119.02,0.37831,0.62299,0.26032,0.92765,0.9261,0.97436,0.97115,0.80674,0.95358,0.94872,0.97335,0.79481,0.70063,1.44724,0.33869,1.14222,0.0002708,0.0002708,0.0002708
133,9186.71,0.37478,0.63367,0.25452,0.91752,0.987,0.97335,0.99015,0.81393,0.9805,0.96694,0.98198,0.80216,0.70381,1.43361,0.32799,1.14346,0.0002576,0.0002576,0.0002576
134,9254.2,0.364,0.6349,0.25684,0.91586,0.94767,0.94872,0.97155,0.80645,0.93486,0.9359,0.95516,0.78564,0.70073,1.50238,0.34432,1.17824,0.0002444,0.0002444,0.0002444
135,9323.18,0.3684,0.6403,0.25421,0.91431,0.95832,0.96154,0.97974,0.81667,0.95193,0.95513,0.96191,0.79633,0.6984,1.44577,0.33127,1.17569,0.0002312,0.0002312,0.0002312
136,9391.29,0.37355,0.61861,0.2492,0.91971,0.96733,0.96795,0.98102,0.81358,0.95434,0.95513,0.97243,0.80494,0.67955,1.42089,0.34872,1.13046,0.000218,0.000218,0.000218
137,9460.26,0.37274,0.63041,0.24967,0.91925,0.96898,0.96795,0.97988,0.81077,0.96257,0.96154,0.97445,0.80116,0.70093,1.44924,0.33008,1.15792,0.0002048,0.0002048,0.0002048
138,9528.14,0.35941,0.61214,0.24248,0.91183,0.96908,0.96154,0.97848,0.81507,0.96452,0.96154,0.97416,0.80656,0.69105,1.43552,0.35635,1.14141,0.0001916,0.0001916,0.0001916
139,9596.12,0.37706,0.62109,0.25151,0.92219,0.97394,0.95819,0.9779,0.81889,0.97398,0.95978,0.97356,0.80719,0.69551,1.46497,0.35508,1.16207,0.0001784,0.0001784,0.0001784
140,9668.41,0.36172,0.61628,0.24758,0.91537,0.98048,0.96618,0.97927,0.81785,0.98048,0.96618,0.9786,0.81159,0.70223,1.44388,0.35908,1.16682,0.0001652,0.0001652,0.0001652
141,9737.68,0.35642,0.5357,0.23956,0.94724,0.96801,0.97436,0.98258,0.80795,0.94878,0.95513,0.95989,0.79625,0.71063,1.50556,0.35014,1.19353,0.000152,0.000152,0.000152
142,9802.6,0.34165,0.50807,0.22827,0.93147,0.95453,0.96795,0.97838,0.81018,0.95453,0.96795,0.97933,0.7935,0.7184,1.49298,0.33518,1.21681,0.0001388,0.0001388,0.0001388
143,9869.01,0.33208,0.50107,0.2259,0.92879,0.97826,0.96154,0.97787,0.81451,0.97826,0.96154,0.96953,0.80028,0.71001,1.4977,0.32445,1.20651,0.0001256,0.0001256,0.0001256
144,9932.36,0.33311,0.49799,0.2248,0.929,0.96221,0.97925,0.98206,0.81999,0.94961,0.96643,0.96923,0.80295,0.6836,1.48478,0.32101,1.18594,0.0001124,0.0001124,0.0001124
145,9997.91,0.32429,0.50039,0.21846,0.92665,0.96686,0.97436,0.97801,0.81429,0.95414,0.96154,0.96627,0.79595,0.70439,1.50363,0.33034,1.21543,9.92e-05,9.92e-05,9.92e-05
146,10063.5,0.32014,0.49656,0.21002,0.92213,0.97258,0.97436,0.98099,0.81799,0.95331,0.95513,0.95646,0.79272,0.69084,1.5347,0.33521,1.20776,8.6e-05,8.6e-05,8.6e-05
147,10127.8,0.32604,0.49719,0.21363,0.92622,0.96712,0.97436,0.98185,0.82101,0.94804,0.95513,0.95981,0.80895,0.67629,1.51416,0.32342,1.18517,7.28e-05,7.28e-05,7.28e-05
148,10194.8,0.3126,0.48039,0.20258,0.92117,0.96221,0.97923,0.9824,0.82566,0.94331,0.95999,0.96148,0.80939,0.68435,1.51216,0.32396,1.19715,5.96e-05,5.96e-05,5.96e-05
149,10265,0.30574,0.46843,0.19936,0.91026,0.9743,0.97216,0.98143,0.82813,0.95503,0.95302,0.96555,0.8147,0.69403,1.5159,0.32243,1.21416,4.64e-05,4.64e-05,4.64e-05
150,10330.1,0.31294,0.48112,0.20595,0.91594,0.97579,0.96154,0.98084,0.82702,0.96278,0.94872,0.96727,0.81148,0.68214,1.50949,0.32542,1.1931,3.32e-05,3.32e-05,3.32e-05
