epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2109.93,0.71477,1.09293,0.48778,1.10464,0.96752,0.95485,0.96757,0.74641,0.96103,0.94844,0.96012,0.74262,0.82339,1.26337,0.70574,1.14957,0.0016172,0.0016172,0.0016172
31,2178.8,0.70344,1.09682,0.4867,1.10985,0.95099,0.96154,0.97667,0.74977,0.94241,0.96154,0.9731,0.74186,0.8734,1.32862,0.51217,1.21908,0.001604,0.001604,0.001604
32,2247.05,0.67871,1.10238,0.47537,1.09049,0.94361,0.96542,0.98003,0.74446,0.96679,0.93309,0.97459,0.73517,0.88665,1.27519,0.49214,1.24779,0.0015908,0.0015908,0.0015908
33,2314.24,0.68634,1.11152,0.47416,1.09005,0.95241,0.9359,0.97334,0.77566,0.96568,0.94872,0.97674,0.76261,0.79269,1.17731,0.44537,1.15688,0.0015776,0.0015776,0.0015776
34,2381.86,0.67229,1.09468,0.46208,1.08392,0.97089,0.95513,0.98783,0.76081,0.97089,0.95513,0.98755,0.76651,0.81863,1.17708,0.47416,1.21697,0.0015644,0.0015644,0.0015644
35,2450.56,0.66466,1.06426,0.44991,1.07888,0.98005,0.94872,0.98025,0.76739,0.97343,0.94231,0.97487,0.76085,0.80833,1.25448,0.46565,1.15759,0.0015512,0.0015512,0.0015512
36,2518.64,0.66528,1.05113,0.45245,1.08427,0.98653,0.9388,0.98224,0.74274,0.96644,0.92285,0.96551,0.74422,0.87036,1.32404,0.41845,1.24045,0.001538,0.001538,0.001538
37,2587.26,0.66723,1.05842,0.45503,1.08474,0.96314,0.9359,0.96618,0.74831,0.93004,0.90385,0.93908,0.74181,0.86163,1.2293,0.59913,1.27936,0.0015248,0.0015248,0.0015248
38,2658.45,0.65329,1.03395,0.4445,1.07526,0.98383,0.98077,0.98969,0.76851,0.97097,0.96795,0.97531,0.7713,0.85174,1.18195,0.46174,1.19196,0.0015116,0.0015116,0.0015116
39,2726.83,0.67424,1.05419,0.45291,1.08581,0.97363,0.94664,0.9773,0.74443,0.96703,0.94023,0.95646,0.74105,0.84001,1.27105,0.50688,1.21227,0.0014984,0.0014984,0.0014984
40,2796.26,0.64972,1.01144,0.44064,1.06615,0.98021,0.95228,0.97918,0.75901,0.97277,0.94872,0.97129,0.74878,0.86186,1.30881,0.48748,1.24242,0.0014852,0.0014852,0.0014852
41,2862.81,0.65938,1.01278,0.44275,1.07715,0.95421,0.97436,0.9776,0.74522,0.94165,0.96154,0.96394,0.74821,0.86481,1.28791,0.42516,1.22428,0.001472,0.001472,0.001472
42,2931.24,0.63796,1.00583,0.43867,1.07209,0.94843,0.94323,0.96821,0.76975,0.95488,0.94964,0.9752,0.7703,0.81071,1.23629,0.45313,1.16173,0.0014588,0.0014588,0.0014588
43,2999.46,0.63389,1.00727,0.42207,1.05785,0.95805,0.96154,0.97871,0.76937,0.95955,0.96154,0.97782,0.77837,0.82569,1.20606,0.40848,1.19022,0.0014456,0.0014456,0.0014456
44,3067.05,0.63107,0.98087,0.42955,1.06354,0.96064,0.93877,0.97724,0.75904,0.95414,0.93352,0.95875,0.74705,0.79955,1.20878,0.59998,1.17374,0.0014324,0.0014324,0.0014324
45,3135.59,0.62989,0.97983,0.4256,1.0582,0.97401,0.96086,0.97167,0.74189,0.96102,0.94818,0.95749,0.75182,0.87692,1.21102,0.48335,1.22948,0.0014192,0.0014192,0.0014192
46,3202.97,0.6149,0.98682,0.41994,1.05155,0.96164,0.96154,0.98532,0.77282,0.94881,0.94872,0.97299,0.77119,0.81019,1.28147,0.41309,1.1824,0.001406,0.001406,0.001406
47,3272.12,0.61209,0.98743,0.41444,1.05328,0.96857,0.95513,0.9717,0.73762,0.94882,0.9359,0.95552,0.74786,0.87071,1.15178,0.48713,1.25942,0.0013928,0.0013928,0.0013928
48,3344.1,0.62044,1.00103,0.41894,1.05182,0.96739,0.95074,0.97552,0.75983,0.96086,0.94433,0.9698,0.7661,0.82886,1.18056,0.46655,1.19311,0.0013796,0.0013796,0.0013796
49,3411.5,0.59649,0.95147,0.40955,1.04627,0.94887,0.95513,0.9811,0.76539,0.9425,0.94872,0.96941,0.75968,0.78477,1.24924,0.437,1.16009,0.0013664,0.0013664,0.0013664
50,3478.24,0.62107,0.97345,0.42316,1.05379,0.97397,0.95938,0.97822,0.76929,0.96778,0.96272,0.97881,0.76204,0.787,1.24092,0.43123,1.18271,0.0013532,0.0013532,0.0013532
51,3545.28,0.61287,0.95693,0.42253,1.0504,0.96435,0.95513,0.98073,0.78159,0.95787,0.94872,0.97301,0.77067,0.76393,1.17586,0.41341,1.13395,0.00134,0.00134,0.00134
52,3613.76,0.59991,0.96212,0.40206,1.04438,0.97887,0.95513,0.97293,0.76558,0.96568,0.94231,0.96123,0.75736,0.7855,1.1825,0.53332,1.1218,0.0013268,0.0013268,0.0013268
53,3681.21,0.59588,0.9546,0.41469,1.05275,0.96551,0.98077,0.98413,0.7735,0.95279,0.96795,0.97898,0.77346,0.7913,1.24849,0.41159,1.15684,0.0013136,0.0013136,0.0013136
54,3749.2,0.59638,0.95815,0.40087,1.04467,0.97836,0.95513,0.9848,0.78269,0.9604,0.95513,0.97205,0.75734,0.80467,1.24825,0.41105,1.17196,0.0013004,0.0013004,0.0013004
55,3816.93,0.60046,0.95837,0.39798,1.04333,0.95425,0.94872,0.96755,0.77826,0.9572,0.94231,0.97302,0.7774,0.79556,1.16657,0.4064,1.18108,0.0012872,0.0012872,0.0012872
56,3885.92,0.59527,0.94219,0.39129,1.03702,0.97903,0.9359,0.97828,0.78298,0.97312,0.92825,0.97333,0.77173,0.77156,1.2323,0.42314,1.15356,0.001274,0.001274,0.001274
57,3955.04,0.59729,0.95727,0.3949,1.03777,0.95215,0.96154,0.96464,0.7599,0.9585,0.96795,0.97012,0.7704,0.791,1.18272,0.4484,1.12785,0.0012608,0.0012608,0.0012608
58,4024.51,0.59765,0.93157,0.39111,1.04372,0.95819,0.96795,0.97744,0.78,0.95185,0.96154,0.97361,0.77178,0.76559,1.24393,0.44428,1.15165,0.0012476,0.0012476,0.0012476
59,4095.99,0.58028,0.91366,0.38325,1.03301,0.9615,0.96059,0.97734,0.76427,0.94867,0.94783,0.9681,0.76864,0.80204,1.18801,0.44703,1.14909,0.0012344,0.0012344,0.0012344
60,4163.38,0.56518,0.9321,0.39137,1.02458,0.9491,0.95617,0.97219,0.77772,0.9364,0.94376,0.95507,0.75252,0.77703,1.22476,0.63124,1.13027,0.0012212,0.0012212,0.0012212
61,4231.13,0.58658,0.92947,0.39348,1.02771,0.94306,0.95557,0.9729,0.77127,0.93042,0.94296,0.95327,0.76373,0.77588,1.22735,0.49033,1.12637,0.001208,0.001208,0.001208
62,4299.22,0.55547,0.89458,0.37702,1.01966,0.97163,0.96795,0.98374,0.79434,0.97163,0.96795,0.97953,0.78907,0.74298,1.12361,0.42853,1.09641,0.0011948,0.0011948,0.0011948
63,4367.42,0.56653,0.90664,0.37551,1.02726,0.96959,0.96795,0.97011,0.76838,0.95328,0.94872,0.95172,0.75752,0.80276,1.32794,0.59556,1.18922,0.0011816,0.0011816,0.0011816
